source,external_id,reporter_hash,incident_type,description,severity,status,location_lat,location_lng,address_text,zone_name,media_urls,ai_confidence,fraud_score,is_infrastructure,created_at,resolved_at
WEB,web:ikoyi_collapse_20211101,a1b2c3d4e5f67890123456789abcdef0,COLLAPSE,"21-storey luxury building collapsed on Gerard Road, Ikoyi. 44+ dead due to structural failure.",CRITICAL,RESOLVED,6.45694,3.44389,"14-16 Gerard Road, Ikoyi",Ikoyi,"[""https://en.wikipedia.org/wiki/2021_Lagos_high-rise_collapse"",""https://www.bbc.com/news/world-africa-59123456""]",0.97,0.0,TRUE,2021-11-01 08:00:00+01,2021-11-02 12:00:00+01
WEB,web:itafaaji_school_collapse_20190313,a1b2c3d4e5f67890123456789abcdef0,COLLAPSE,"Four-storey school building collapsed on Ita-Faaji Street, Lagos Island. 10+ dead including pupils.",CRITICAL,RESOLVED,6.4532,3.3921,"Ita-Faaji Street, Lagos Island",Lagos Island,"[""https://www.bbc.com/news/world-africa-47555373""]",0.95,0.0,TRUE,2019-03-13 10:30:00+01,2019-03-14 12:00:00+01
WEB,web:gni_balogun_fire_20251224,a1b2c3d4e5f67890123456789abcdef0,FIRE,"Massive fire in 22/25-storey Great Nigeria Insurance House, Balogun Market. 7-12+ dead.",CRITICAL,RESOLVED,6.4521,3.3905,"Martins Street, Balogun Market, Lagos Island",Lagos Island,"[""https://punchng.com/gni-fire-2025/""]",0.96,0.0,TRUE,2025-12-24 17:00:00+01,2025-12-25 12:00:00+01
WEB,web:afriland_towers_fire_20250918,a1b2c3d4e5f67890123456789abcdef0,FIRE,"Fire in 7-storey Afriland Towers, Broad Street. 10+ dead.",CRITICAL,RESOLVED,6.4518,3.3897,"Broad Street, Lagos Island",Lagos Island,"[""https://www.bbc.com/news/articles/cr704re0kmpo""]",0.94,0.0,TRUE,2025-09-18 14:00:00+01,2025-09-19 12:00:00+01
WEB,web:oyingbo_collapse_20251028,a1b2c3d4e5f67890123456789abcdef0,COLLAPSE,"Two-storey building collapsed on Cole Street, Oyingbo. 1 dead, 26 rescued.",HIGH,RESOLVED,6.5234,3.3821,"Cole Street, Oyingbo, Lagos Mainland",Yaba,[],0.89,0.0,TRUE,2025-10-28 05:00:00+01,2025-10-29 12:00:00+01
WEB,web:agarawu_collapse_20250413,a1b2c3d4e5f67890123456789abcdef0,COLLAPSE,"3-storey building under construction collapsed at 4 Agarawu Street, Lagos Island.",CRITICAL,RESOLVED,6.4528,3.3912,"4 Agarawu Street, Lagos Island",Lagos Island,[],0.92,0.0,TRUE,2025-04-13 14:00:00+01,2025-04-14 12:00:00+01
WEB,web:ikota_collapse_20250128,a1b2c3d4e5f67890123456789abcdef0,COLLAPSE,"2-storey building under construction collapsed in Ikota, Lekki.",HIGH,RESOLVED,6.4721,3.4805,"Ikota, Lekki",Lekki,[],0.88,0.0,TRUE,2025-01-28 10:00:00+01,2025-01-29 12:00:00+01
WEB,web:ojodu_berger_collapse_20250419,a1b2c3d4e5f67890123456789abcdef0,COLLAPSE,"2-storey restaurant building collapsed on Oremeta Street, Ojodu-Berger. Multiple casualties.",CRITICAL,RESOLVED,6.6289,3.3674,"Oremeta Street, Ojodu-Berger",Ojodu,[],0.90,0.0,TRUE,2025-04-19 09:00:00+01,2025-04-20 12:00:00+01
WEB,web:sangotedo_explosion_20260321,a1b2c3d4e5f67890123456789abcdef0,EXPLOSION,"Gas tanker exploded at Ologuro Bus Stop, Sangotedo/Lekki-Epe. Deaths and property damage.",CRITICAL,RESOLVED,6.4728,3.4801,"Sangotedo, Lekki-Epe Expressway",Sangotedo,"[""https://www.channelstv.com/2026/03/21/properties-damaged-two-burnt-beyond-recognition-as-gas-tanker-explodes-in-lagos/""]",0.92,0.0,FALSE,2026-03-21 11:00:00+01,2026-03-22 12:00:00+01
WEB,web:otedola_tanker_20180628,a1b2c3d4e5f67890123456789abcdef0,EXPLOSION,"Petrol tanker exploded on Otedola Bridge, Lagos-Ibadan Expressway. 9-12 dead.",CRITICAL,RESOLVED,6.5978,3.3482,"Otedola Bridge, Lagos-Ibadan Expressway",Ojodu,"[""https://en.wikipedia.org/wiki/Otedola_bridge_fire_accident""]",0.93,0.0,FALSE,2018-06-28 17:30:00+01,2018-06-29 12:00:00+01
WEB,web:lekki_flood_20250924,a1b2c3d4e5f67890123456789abcdef0,FLOOD,"Widespread flash flooding on Lekki-Epe Expressway, Ago Palace, Mile 2, Surulere, Agege.",HIGH,RESOLVED,6.4285,3.4842,"Lekki-Epe Expressway and multiple LGAs",Lekki,"[""https://punchng.com/lagos-flood-2025/""]",0.88,0.0,FALSE,2025-09-24 06:00:00+01,2025-09-25 12:00:00+01
WEB,web:mmia_fire_20260223,a1b2c3d4e5f67890123456789abcdef0,FIRE,Fire in Terminal 1 server room at Murtala Muhammed Airport. No casualties.,HIGH,RESOLVED,6.5874,3.3217,"MMIA Terminal 1, Ikeja",Ikeja,"[""https://pbs.twimg.com/media/HB7Pyg8WQAAMBxZ.jpg""]",0.97,0.0,TRUE,2026-02-23 17:00:00+01,2026-02-24 12:00:00+01
WEB,web:igbologun_drowning_20260101,a1b2c3d4e5f67890123456789abcdef0,DROWNING,"Boat capsized on Igbologun water channel near Ilashe. 6 dead.",HIGH,RESOLVED,6.415,3.520,"Igbologun / Nigerdock axis",Apapa,"[""https://punchng.com/six-killed-four-rescued-in-lagos-boat-crash/""]",0.91,0.0,FALSE,2026-01-01 20:35:00+01,2026-01-02 12:00:00+01
WEB,web:abule_egba_hazard_20260105,a1b2c3d4e5f67890123456789abcdef0,HAZARD,"Pipeline fire at Katangowa corridor, Abule-Egba.",HIGH,RESOLVED,6.6023,3.3018,"Katangowa, Abule-Egba",Abule-Egba,[],0.85,0.0,TRUE,2026-01-05 08:00:00+01,2026-01-06 12:00:00+01
WEB,web:ikotun_collapse_20140912,a1b2c3d4e5f67890123456789abcdef0,COLLAPSE,"Six-storey guest house collapsed in Ikotun. High casualties.",CRITICAL,RESOLVED,6.55,3.28,"Ikotun area",Alimosho,[],0.88,0.0,TRUE,2014-09-12 00:00:00+01,2014-09-13 12:00:00+01
WEB,web:ebute_ero_collapse_20110707,a1b2c3d4e5f67890123456789abcdef0,COLLAPSE,"Four-storey building collapsed on Mogaji Street, Ebute Ero. 2 dead.",HIGH,RESOLVED,6.45,3.39,"Mogaji Street, Ebute Ero, Lagos Island",Lagos Island,[],0.85,0.0,TRUE,2011-07-07 00:00:00+01,2011-07-08 12:00:00+01
WEB,web:representative_rta_2025_high,a1b2c3d4e5f67890123456789abcdef0,RTA,"Major road traffic accident (representative of 394 RTA recorded in Lagos in 2025).",HIGH,RESOLVED,6.5244,3.3792,"Lagos-Ibadan Expressway area",Ojodu,[],0.75,0.0,FALSE,2025-02-15 00:00:00+01,2025-02-16 12:00:00+01
WEB,web:representative_fire_2025,a1b2c3d4e5f67890123456789abcdef0,FIRE,"Residential or market fire outbreak (representative of 204 fires recorded in Lagos in 2025).",MEDIUM,RESOLVED,6.5244,3.3792,"Alimosho or Surulere area",Surulere,[],0.70,0.0,FALSE,2025-04-10 00:00:00+01,2025-04-11 12:00:00+01
WEB,web:representative_flood_2025,a1b2c3d4e5f67890123456789abcdef0,FLOOD,"Localised flash flooding in low-lying area (common rainy season pattern in Lagos).",MEDIUM,RESOLVED,6.5244,3.3792,"Agege or Oshodi area",Agege,[],0.72,0.0,FALSE,2025-07-20 00:00:00+01,2025-07-21 12:00:00+01
WEB,web:representative_rta_2026,a1b2c3d4e5f67890123456789abcdef0,RTA,"Vehicle crash (representative of 56 RTA recorded in Lagos in January-February 2026).",MEDIUM,RESOLVED,6.5244,3.3792,"Third Mainland Bridge or Lagos Island",Lagos Island,[],0.70,0.0,FALSE,2026-01-20 00:00:00+01,2026-01-21 12:00:00+01
WEB,web:representative_collapse_2026,a1b2c3d4e5f67890123456789abcdef0,COLLAPSE,"Minor building collapse (representative of 2 collapses in Lagos in January-February 2026).",HIGH,RESOLVED,6.5244,3.3792,"Lagos Mainland",Yaba,[],0.78,0.0,TRUE,2026-02-10 00:00:00+01,2026-02-11 12:00:00+01
